Date,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),THERMAL ZONE: CB1:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE: CB2:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE: LD:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE: MB:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE: LD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),THERMAL ZONE: LD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),THERMAL ZONE: MB IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),THERMAL ZONE: MB IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),THERMAL ZONE: CB1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),THERMAL ZONE: CB1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),THERMAL ZONE: CB2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),THERMAL ZONE: CB2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly)
 06/22  08:00:00,20.61666667,25.87439649,25.73654509,26.95105115,25.91435587,0,0,0,0,0,0,0,0,1064520,186120
 06/22  09:00:00,20.81666667,25.94994868,26.00665114,27.14856212,26.18097748,0,0,0,0,0,0,0,0,921240,104040
 06/22  10:00:00,20.95833333,26.31269541,26.41954396,27.34580207,26.62488184,0,0,0,0,0,0,0,0,349200,0
 06/22  11:00:00,21,26.89943019,26.97575731,28.05149533,27.29536904,0,0,0,0,0,0,0,0,349200,0
 06/22  12:00:00,21.05833333,27.4829227,27.43447033,28.64736179,27.94957198,0,0,0,0,0,0,0,0,349200,0
 06/22  13:00:00,21.04166667,28.04820945,27.86570507,29.3880849,28.58317656,0,0,0,0,0,0,0,0,453240,104040
 06/22  14:00:00,20.94166667,28.62790067,28.34175356,30.181882,29.25258601,0,0,0,0,0,0,0,0,453240,104040
 06/22  15:00:00,20.84166667,29.03686092,28.5998762,30.30100992,29.71759533,0,0,0,0,0,0,0,0,349200,0
 06/22  16:00:00,20.8,29.29105647,28.74959848,30.12917947,29.9901869,0,0,0,0,0,0,0,0,349200,0
 06/22  17:00:00,20.74166667,29.42716743,28.83477014,30.40149609,30.11945404,0,0,0,0,0,0,0,0,453240,104040
 06/22  18:00:00,20.7,29.2962772,28.64977789,30.59218744,29.93221425,0,0,0,0,0,0,0,0,1086480,208080
